age,workclass,fnlwgt,education,education_no_of_years,marital_status,occupation,sex,capital_gain,capital_loss,working_hours_per_week,native_contienent,salary
28,Private,69621,Assoc-acdm,12,Never-married,Sales,Female,0,0,60,north_america,211145
24,Private,43323,HS-grad,9,Never-married,Other-service,Female,0,1762,40,north_america,100803
38,Self-emp-not-inc,120985,HS-grad,9,married,Craft-repair,Male,4386,0,35,north_america,104069
37,Private,254202,Bachelors,13,married,Sales,Male,0,0,50,north_america,130628
46,Private,146195,Assoc-acdm,12,not_married,Tech-support,Female,0,0,36,north_america,199350
38,Federal-gov,125933,Masters,14,married,Prof-specialty,Male,0,0,40,asia,292567
43,Self-emp-not-inc,56920,HS-grad,9,married,Craft-repair,Male,0,0,60,north_america,225285
27,Private,163127,Assoc-voc,11,married,Adm-clerical,Female,0,0,35,north_america,175717
20,Private,34310,Some-college,10,Never-married,Sales,Male,0,0,20,north_america,237423
49,Private,81973,Some-college,10,married,Craft-repair,Male,0,0,40,north_america,291335
61,Self-emp-inc,66614,HS-grad,9,married,Craft-repair,Male,0,0,40,north_america,231535
27,Private,232782,Some-college,10,Never-married,Sales,Female,0,0,40,north_america,173480
19,Private,316868,Some-college,10,Never-married,Other-service,Male,0,0,30,north_america,80207
45,Private,196584,Assoc-voc,11,Never-married,Prof-specialty,Female,0,1564,40,north_america,214375
70,Private,105376,Some-college,10,Never-married,Tech-support,Male,0,0,40,north_america,178169
31,Private,185814,HS-grad,9,Never-married,Transport-moving,Female,0,0,30,north_america,230541
22,Private,175374,Some-college,10,married,Other-service,Male,0,0,24,north_america,129987
36,Private,108293,HS-grad,9,not_married,Other-service,Female,0,0,24,north_america,182510
64,Private,181232,11th,7,married,Craft-repair,Male,0,2179,40,north_america,171536
43,Unknown,174662,Some-college,10,not_married,Unknown,Female,0,0,40,north_america,89999
47,Local-gov,186009,Some-college,10,not_married,Adm-clerical,Female,0,0,38,north_america,140593
34,Private,198183,HS-grad,9,Never-married,Adm-clerical,Female,0,0,40,north_america,182568
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Female,0,0,40,asia,29578
21,Private,296158,HS-grad,9,Never-married,Craft-repair,Male,0,0,35,north_america,36742
52,Unknown,252903,HS-grad,9,not_married,Unknown,Male,0,0,45,north_america,44715
48,Private,187715,HS-grad,9,married,Craft-repair,Male,0,0,46,north_america,99445
23,Private,214542,Bachelors,13,Never-married,Handlers-cleaners,Male,0,0,40,north_america,86550
71,Self-emp-not-inc,494223,Some-college,10,not_married,Sales,Male,0,1816,2,north_america,277191
29,Private,191535,HS-grad,9,not_married,Craft-repair,Male,0,0,60,north_america,54718
42,Private,228456,Bachelors,13,not_married,Other-service,Male,0,0,50,north_america,45077
68,Unknown,38317,1st-4th,2,not_married,Unknown,Female,0,0,20,north_america,105638
25,Private,252752,HS-grad,9,Never-married,Other-service,Female,0,0,40,north_america,154589
44,Self-emp-inc,78374,Masters,14,not_married,Exec-managerial,Female,0,0,40,north_america,142584
28,Private,88419,HS-grad,9,Never-married,Exec-managerial,Female,0,0,40,europe,210829
45,Self-emp-not-inc,201080,Masters,14,married,Sales,Male,0,0,40,north_america,297917
36,Private,207157,Some-college,10,not_married,Other-service,Female,0,0,40,north_america,264138
39,Federal-gov,235485,Assoc-acdm,12,Never-married,Exec-managerial,Male,0,0,42,north_america,236000
46,State-gov,102628,Masters,14,not_married,Protective-serv,Male,0,0,40,north_america,244294
18,Private,25828,11th,7,Never-married,Handlers-cleaners,Male,0,0,16,north_america,116988
66,Local-gov,54826,Assoc-voc,11,not_married,Prof-specialty,Female,0,0,20,north_america,122888
27,Private,124953,HS-grad,9,Never-married,Other-service,Male,0,1980,40,north_america,148184
28,State-gov,175325,HS-grad,9,married,Protective-serv,Male,0,0,40,north_america,175688
51,Private,96062,Some-college,10,married,Sales,Male,0,1977,40,north_america,110250
27,Private,428030,Bachelors,13,Never-married,Craft-repair,Male,0,0,50,north_america,269255
28,State-gov,149624,Bachelors,13,married,Prof-specialty,Male,0,0,40,north_america,67771
27,Private,253814,HS-grad,9,not_married,Sales,Female,0,0,25,north_america,74240
21,Private,312956,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,north_america,47770
34,Private,483777,HS-grad,9,Never-married,Handlers-cleaners,Male,0,0,40,north_america,200106
18,Private,183930,HS-grad,9,Never-married,Other-service,Male,0,0,12,north_america,46187
33,Private,37274,Bachelors,13,married,Prof-specialty,Male,0,0,65,north_america,240066
44,Local-gov,181344,Some-college,10,married,Exec-managerial,Male,0,0,38,north_america,159667
43,Private,114580,Some-college,10,not_married,Adm-clerical,Female,0,0,40,north_america,287990
30,Private,633742,Some-college,10,Never-married,Craft-repair,Male,0,0,45,north_america,211671
40,Private,286370,7th-8th,4,married,Machine-op-inspct,Male,0,0,40,north_america,38809
37,Federal-gov,29054,Some-college,10,married,Adm-clerical,Male,0,0,42,north_america,209210
34,Private,304030,HS-grad,9,married,Adm-clerical,Male,0,0,40,north_america,88516
41,Self-emp-not-inc,143129,Bachelors,13,not_married,Exec-managerial,Female,0,0,40,north_america,138785
53,Unknown,135105,Bachelors,13,not_married,Unknown,Female,0,0,50,north_america,59786
31,Private,99928,Masters,14,married,Prof-specialty,Female,0,0,50,north_america,266047
58,State-gov,109567,Doctorate,16,married,Prof-specialty,Male,0,0,1,north_america,290559
38,Private,155222,Some-college,10,not_married,Machine-op-inspct,Female,0,0,28,north_america,221917
24,Private,159567,Some-college,10,married,Machine-op-inspct,Male,0,0,40,north_america,38207
41,Local-gov,523910,Bachelors,13,married,Craft-repair,Male,0,0,40,north_america,42992
47,Private,120939,Some-college,10,married,Tech-support,Male,0,0,45,north_america,87308
41,Federal-gov,130760,Bachelors,13,married,Tech-support,Male,0,0,24,north_america,221583
23,Private,197387,5th-6th,3,married,Transport-moving,Male,0,0,40,north_america,162385
36,Private,99374,Some-college,10,not_married,Craft-repair,Male,0,0,40,north_america,66982
40,Federal-gov,56795,Masters,14,Never-married,Exec-managerial,Female,14084,0,55,north_america,182365
35,Private,138992,Masters,14,married,Prof-specialty,Male,7298,0,40,north_america,163766
24,Self-emp-not-inc,32921,HS-grad,9,Never-married,Sales,Male,0,0,40,north_america,149330
26,Private,397317,Masters,14,Never-married,Prof-specialty,Female,0,1876,40,north_america,64673
19,Unknown,170653,HS-grad,9,Never-married,Unknown,Male,0,0,40,europe,209336
51,Private,259323,Bachelors,13,married,Exec-managerial,Male,0,0,50,north_america,237918
42,Local-gov,254817,Some-college,10,Never-married,Prof-specialty,Female,0,1340,40,north_america,242709
37,State-gov,48211,HS-grad,9,not_married,Adm-clerical,Female,0,0,35,north_america,258065
18,Private,140164,11th,7,Never-married,Sales,Female,0,0,40,north_america,266132
36,Private,128757,Bachelors,13,married,Other-service,Male,7298,0,36,north_america,57705
35,Private,36270,HS-grad,9,not_married,Craft-repair,Male,0,0,60,north_america,245700
58,Self-emp-inc,210563,HS-grad,9,married,Sales,Female,15024,0,35,north_america,243220
17,Private,65368,11th,7,Never-married,Sales,Female,0,0,12,north_america,138302
44,Local-gov,160943,HS-grad,9,married,Transport-moving,Male,0,0,40,north_america,71686
37,Private,208358,HS-grad,9,married,Craft-repair,Male,0,0,40,north_america,180912
35,Private,153790,Some-college,10,Never-married,Sales,Female,0,0,40,north_america,271614
60,Private,85815,HS-grad,9,married,Craft-repair,Male,0,0,40,north_america,105807
54,Self-emp-inc,125417,7th-8th,4,married,Machine-op-inspct,Male,0,0,40,north_america,41195
37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Male,0,0,60,north_america,201627
50,Private,313321,Assoc-acdm,12,not_married,Sales,Female,0,0,40,north_america,108159
38,Private,182609,Bachelors,13,married,Sales,Male,0,0,50,europe,108457
45,Private,109434,Bachelors,13,married,Prof-specialty,Male,0,0,55,north_america,69858
25,Private,255004,10th,6,Never-married,Craft-repair,Male,0,0,40,north_america,289224
31,Private,197860,Some-college,10,married,Handlers-cleaners,Male,0,0,40,north_america,181251
64,Unknown,187656,1st-4th,2,not_married,Unknown,Male,0,0,40,north_america,40566
90,Private,51744,HS-grad,9,Never-married,Other-service,Male,0,2206,40,north_america,212585
54,Private,176681,HS-grad,9,married,Adm-clerical,Male,0,0,20,north_america,170742
53,Local-gov,140359,Preschool,1,Never-married,Machine-op-inspct,Female,0,0,35,north_america,58681
18,Private,243313,HS-grad,9,Never-married,Sales,Female,0,0,40,north_america,285533
60,Unknown,24215,10th,6,not_married,Unknown,Female,0,0,10,north_america,122986
66,Self-emp-not-inc,167687,HS-grad,9,married,Farming-fishing,Male,1409,0,50,north_america,213037
75,Private,314209,Assoc-voc,11,not_married,Adm-clerical,Female,0,0,20,south_america,160128
65,Private,176796,HS-grad,9,not_married,Adm-clerical,Female,0,0,40,north_america,217685
35,Private,538583,11th,7,not_married,Transport-moving,Male,3674,0,40,north_america,205946
41,Private,130408,HS-grad,9,not_married,Sales,Female,0,0,38,north_america,45950
25,Private,159732,Some-college,10,Never-married,Adm-clerical,Male,0,0,42,north_america,180047
33,Private,110978,Some-college,10,not_married,Craft-repair,Female,0,0,40,north_america,183398
28,Private,76714,Prof-school,15,Never-married,Prof-specialty,Male,0,0,55,north_america,263214
59,State-gov,268700,HS-grad,9,married,Other-service,Male,0,0,40,north_america,201434
40,State-gov,170525,Some-college,10,Never-married,Adm-clerical,Female,0,0,38,north_america,64154
41,Private,180138,Bachelors,13,married,Exec-managerial,Male,0,0,50,asia,152988
38,Local-gov,115076,Masters,14,married,Exec-managerial,Male,0,0,70,north_america,166446
23,Private,115458,HS-grad,9,Never-married,Transport-moving,Male,0,0,40,north_america,194272
40,Private,347890,Bachelors,13,married,Prof-specialty,Male,0,0,40,north_america,33252
41,Self-emp-not-inc,196001,HS-grad,9,married,Other-service,Female,0,0,20,north_america,283263
24,State-gov,273905,Assoc-acdm,12,married,Protective-serv,Male,0,0,50,north_america,298390
20,Unknown,119156,Some-college,10,Never-married,Unknown,Male,0,0,20,north_america,252655
38,Private,179488,Some-college,10,not_married,Craft-repair,Male,0,1741,40,north_america,148277
56,Private,203580,HS-grad,9,married,Adm-clerical,Male,0,0,35,other,177238
58,Private,236596,HS-grad,9,married,Adm-clerical,Male,0,0,45,north_america,170386
32,Private,183916,HS-grad,9,Never-married,Other-service,Female,0,0,34,north_america,160095
40,Private,207578,Assoc-acdm,12,married,Tech-support,Male,0,1977,60,north_america,205812
45,Private,153141,HS-grad,9,married,Adm-clerical,Male,0,0,40,other,87444
41,Private,112763,Prof-school,15,married,Prof-specialty,Female,0,0,40,north_america,77525
42,Private,390781,Bachelors,13,married,Adm-clerical,Female,0,0,40,north_america,238765
59,Local-gov,171328,10th,6,not_married,Other-service,Female,0,0,30,north_america,223573
19,Local-gov,27382,Some-college,10,Never-married,Adm-clerical,Male,0,0,40,north_america,91232
58,Private,259014,Some-college,10,Never-married,Transport-moving,Male,0,0,20,north_america,268246
42,Self-emp-not-inc,303044,HS-grad,9,married,Farming-fishing,Male,0,0,40,asia,134010
20,Private,117789,HS-grad,9,Never-married,Other-service,Female,0,0,40,north_america,70956
32,Private,172579,HS-grad,9,not_married,Other-service,Female,0,0,30,north_america,56707
45,Private,187666,Assoc-voc,11,not_married,Exec-managerial,Female,0,0,45,north_america,117983
50,Private,204518,7th-8th,4,not_married,Craft-repair,Male,0,0,40,north_america,252367
36,Private,150042,Bachelors,13,not_married,Prof-specialty,Female,0,0,40,north_america,160588
45,Private,98092,HS-grad,9,married,Sales,Male,0,0,60,north_america,58906
17,Private,245918,11th,7,Never-married,Other-service,Male,0,0,12,north_america,115803
59,Private,146013,Some-college,10,married,Sales,Male,4064,0,40,north_america,291183
26,Private,378322,11th,7,married,Craft-repair,Male,0,0,40,north_america,235725
37,Self-emp-inc,257295,Some-college,10,married,Exec-managerial,Male,0,0,75,asia,212881
19,Unknown,218956,Some-college,10,Never-married,Unknown,Male,0,0,24,north_america,202129
64,Private,21174,HS-grad,9,married,Exec-managerial,Male,0,0,40,north_america,55683
33,Private,185480,Bachelors,13,Never-married,Prof-specialty,Female,0,0,45,north_america,48576
33,Private,222205,HS-grad,9,married,Craft-repair,Female,0,0,40,north_america,188979
61,Private,69867,HS-grad,9,married,Exec-managerial,Male,0,0,40,north_america,52644
17,Private,191260,9th,5,Never-married,Other-service,Male,1055,0,24,north_america,163666
50,Self-emp-not-inc,30653,Masters,14,married,Farming-fishing,Male,2407,0,98,north_america,178506
27,Local-gov,209109,Masters,14,Never-married,Prof-specialty,Male,0,0,35,north_america,75090
30,Private,70377,HS-grad,9,not_married,Prof-specialty,Female,0,0,40,north_america,97233
43,Private,477983,HS-grad,9,married,Handlers-cleaners,Male,0,0,40,north_america,85369
44,Private,170924,Some-college,10,married,Craft-repair,Male,7298,0,40,north_america,37828
35,Private,190174,Some-college,10,Never-married,Exec-managerial,Female,0,0,40,north_america,90523
25,Private,193787,Some-college,10,Never-married,Tech-support,Female,0,0,40,north_america,157194
24,Private,279472,Some-college,10,married,Machine-op-inspct,Female,7298,0,48,north_america,295715
22,Private,34918,Bachelors,13,Never-married,Prof-specialty,Female,0,0,15,europe,133413
42,Local-gov,97688,Some-college,10,married,Craft-repair,Male,5178,0,40,north_america,95019
34,Private,175413,Assoc-acdm,12,not_married,Sales,Female,0,0,45,north_america,148255
60,Private,173960,Bachelors,13,not_married,Prof-specialty,Female,0,0,42,north_america,166622
21,Private,205759,HS-grad,9,Never-married,Handlers-cleaners,Male,0,0,40,north_america,117232
57,Federal-gov,425161,Masters,14,married,Sales,Male,15024,0,40,north_america,119207
41,Private,220531,Prof-school,15,married,Prof-specialty,Male,0,0,60,north_america,245813
50,Private,176609,Some-college,10,not_married,Other-service,Male,0,0,45,north_america,129461
25,Private,371987,Bachelors,13,Never-married,Exec-managerial,Female,0,0,40,north_america,65369
50,Private,193884,7th-8th,4,married,Craft-repair,Male,0,0,40,south_america,218663
36,Private,200352,Bachelors,13,married,Prof-specialty,Male,0,0,45,north_america,92641
31,Private,127595,HS-grad,9,not_married,Prof-specialty,Female,0,0,40,north_america,84242
29,Local-gov,220419,Bachelors,13,Never-married,Protective-serv,Male,0,0,56,north_america,137545
21,Private,231931,Some-college,10,Never-married,Sales,Male,0,0,45,north_america,116089
27,Private,248402,Bachelors,13,Never-married,Tech-support,Female,0,0,40,north_america,29303
65,Private,111095,HS-grad,9,married,Transport-moving,Male,0,0,16,north_america,265457
37,Self-emp-inc,57424,Bachelors,13,not_married,Sales,Female,0,0,60,north_america,276037
39,Unknown,157443,Masters,14,married,Unknown,Female,3464,0,40,other,216038
24,Private,278130,HS-grad,9,Never-married,Craft-repair,Male,0,0,40,north_america,203019
38,Private,169469,HS-grad,9,not_married,Sales,Male,0,0,80,north_america,189463
48,Private,146268,Bachelors,13,married,Adm-clerical,Male,7688,0,40,north_america,39204
21,Private,153718,Some-college,10,Never-married,Other-service,Female,0,0,25,north_america,136038
31,Private,217460,HS-grad,9,married,Transport-moving,Male,0,0,45,north_america,155948
55,Private,238638,HS-grad,9,married,Sales,Male,4386,0,40,north_america,47379
24,Private,303296,Some-college,10,married,Adm-clerical,Female,0,0,40,asia,241031
43,Private,173321,HS-grad,9,not_married,Adm-clerical,Female,0,0,40,north_america,252286
26,Private,193945,Assoc-acdm,12,Never-married,Tech-support,Male,0,0,45,north_america,84570
46,Private,83082,Assoc-acdm,12,Never-married,Prof-specialty,Female,0,0,33,north_america,253279
35,Private,193815,Assoc-acdm,12,married,Adm-clerical,Male,0,0,40,north_america,43362
41,Self-emp-inc,34987,Some-college,10,married,Farming-fishing,Male,0,0,54,north_america,180166
26,Private,59306,Bachelors,13,Never-married,Sales,Male,0,0,40,north_america,201001
34,Private,142897,Masters,14,married,Exec-managerial,Male,7298,0,35,asia,34700
19,Unknown,860348,Some-college,10,Never-married,Unknown,Female,0,0,25,north_america,161660
36,Self-emp-not-inc,205607,Bachelors,13,not_married,Prof-specialty,Female,0,0,40,north_america,143583
22,Private,199698,Some-college,10,Never-married,Sales,Male,0,0,15,north_america,149688
24,Private,191954,Some-college,10,Never-married,Machine-op-inspct,Male,0,0,40,north_america,225425
77,Self-emp-not-inc,138714,Some-college,10,married,Sales,Male,0,0,40,north_america,122009
22,Private,399087,5th-6th,3,married,Machine-op-inspct,Female,0,0,40,north_america,61934
29,Private,423158,Some-college,10,Never-married,Tech-support,Female,0,0,40,north_america,120534
62,Private,159841,HS-grad,9,not_married,Other-service,Female,0,0,24,north_america,140896
